Rank,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
5,Detective Chinatown 3,"68,62,57,563",0,0,"68,62,57,563",100%,2021
6,Venom: Let There Be Carnage,"50,68,63,592","21,35,50,366",42.10%,"29,33,13,226",57.90%,2021
7,Godzilla vs. Kong,"47,01,16,094","10,09,16,094",21.50%,"36,92,00,000",78.50%,2021
8,Shang0Chi and the Legend of the Ten Rings,"43,22,43,292","22,45,43,292",51.90%,"20,77,00,000",48.10%,2021
9,Sing 2,"40,84,02,685","16,27,90,990",39.90%,"24,56,11,695",60.10%,2021
10,Eternals,"40,20,64,899","16,48,70,234",41%,"23,71,94,665",59%,2021
11,Dune: Part One,"40,20,27,830","10,83,27,830",26.90%,"29,37,00,000",73.10%,2021
12,Black Widow,"37,97,51,655","18,36,51,655",48.40%,"19,61,00,000",51.60%,2021
13,Free Guy,"33,15,26,598","12,16,26,598",36.70%,"20,99,00,000",63.30%,2021
14,A Quiet Place Part II,"29,73,72,261","16,00,72,261",53.80%,"13,73,00,000",46.20%,2021
15,Encanto,"25,67,86,742","9,60,93,622",37.40%,"16,06,93,120",62.60%,2021
16,Cruella,"23,35,03,234","8,61,03,234",36.90%,"14,74,00,000",63.10%,2021
17,"My Country, My Parents","22,18,31,086","1,77,133",0,"22,16,53,953",99.90%,2021
18,Jungle Cruise,"22,08,89,446","11,69,87,516",53%,"10,39,01,930",47%,2021
19,The Conjuring: The Devil Made Me Do It,"20,64,31,050","6,56,31,050",31.80%,"14,08,00,000",68.20%,2021
20,Raging Fire,"20,58,42,393","3,85,305",0.20%,"20,54,57,088",99.80%,2021
21,Ghostbusters: Afterlife,"20,43,34,455","12,93,60,575",63.30%,"7,49,73,880",36.70%,2021
22,Chinese Doctors,"19,71,43,218",0,0,"19,71,43,218",100%,2021
23,Cliff Walkers,"18,13,25,565","1,52,972",0,"18,11,72,593",99.90%,2021
24,The Suicide Squad,"16,87,17,425","5,58,17,425",33.10%,"11,29,00,000",66.90%,2021
25,Jujutsu Kaisen 0,"16,67,60,828","3,45,42,754",20.70%,"13,22,18,074",79.30%,2021
26,Space Jam: A New Legacy,"16,36,92,228","7,05,92,228",43.10%,"9,31,00,000",56.90%,2021
27,The Matrix Resurrections,"15,73,86,805","3,76,86,805",23.90%,"11,97,00,000",76.10%,2021
28,Peter Rabbit 2: The Runaway,"15,39,01,717","4,05,01,717",26.30%,"11,34,00,000",73.70%,2021
29,House of Gucci,"15,32,69,161","5,38,09,574",35.10%,"9,94,59,587",64.90%,2021
30,A Writer's Odyssey,"15,01,23,320","1,60,013",0.10%,"14,99,63,307",99.90%,2021
31,The Boss Baby 2: Family Business,"14,67,45,280","5,73,00,280",39%,"8,94,45,000",61%,2021
32,PAW Patrol: The Movie,"14,43,27,371","4,01,27,371",27.80%,"10,42,00,000",72.20%,2021
33,Tom & Jerry,"13,65,36,687","4,65,36,687",34.10%,"9,00,00,000",65.90%,2021
34,Be Somebody,"13,23,26,332",0,0,"13,23,26,332",100%,2021
35,Halloween Kills,"13,16,47,155","9,20,02,155",69.90%,"3,96,45,000",30.10%,2021
36,Raya and the Last Dragon,"13,04,23,032","5,47,23,032",42%,"7,57,00,000",58%,2021
37,Sister,"12,83,17,206",0,0,"12,83,17,206",100%,2021
38,The King's Man,"12,58,97,478","3,71,76,373",29.50%,"8,87,21,105",70.50%,2021
39,The Addams Family 2,"11,98,15,153","5,64,89,153",47.10%,"6,33,26,000",52.90%,2021
40,My Love,"11,67,20,921","86,252",0,"11,66,34,669",99.90%,2021
41,Clifford the Big Red Dog,"10,73,47,356","4,89,47,356",45.60%,"5,84,00,000",54.40%,2021
42,Wrath of Man,"10,39,66,489","2,74,66,489",26.40%,"7,65,00,000",73.60%,2021
43,Detective Conan: The Scarlet Bullet,"9,53,71,578",0,0,"9,53,71,578",100%,2021
44,Evangelion: 3.0+1.01 Thrice Upon a Time,"9,38,82,453","8,10,744",0.90%,"9,30,71,709",99.10%,2021
45,End Game,"9,18,24,961","23,149",0,"9,18,01,812",100%,2021
46,Old,"9,01,46,510","4,82,76,510",53.60%,"4,18,70,000",46.40%,2021
47,Mortal Kombat,"8,44,26,031","4,23,26,031",50.10%,"4,21,00,000",49.90%,2021
48,Boonie Bears: The Wild Life,"7,81,32,231",0,0,"7,81,32,231",100%,2021
49,Candyman,"7,74,11,570","6,11,86,570",79%,"1,62,25,000",21%,2021
50,The Forever Purge,"7,69,94,245","4,45,39,245",57.80%,"3,24,55,000",42.20%,2021
51,West Side Story,"7,60,16,171","3,85,30,322",50.70%,"3,74,85,849",49.30%,2021
52,1921,"7,51,59,828",0,0,"7,51,59,828",100%,2021
53,Hitman's Wife's Bodyguard,"7,00,60,492","3,80,14,727",54.30%,"3,20,45,765",45.70%,2021
54,Escape Room: Tournament of Champions,"6,57,74,490","2,53,14,753",38.50%,"4,04,59,737",61.50%,2021
55,Belle,"6,46,79,830","40,18,313",6.20%,"6,06,61,517",93.80%,2021
56,Ron's Gone Wrong,"6,06,92,022","2,30,09,270",37.90%,"3,76,82,752",62.10%,2021
57,Cloudy Mountain,"5,83,48,836",0,0,"5,83,48,836",100%,2021
58,Avatar 2021 Re0release,"5,79,95,770",0,0,"5,79,95,770",100%,2021
59,Nobody,"5,75,10,518","2,75,68,035",47.90%,"2,99,42,483",52.10%,2021
60,New Gods: Nezha Reborn,"5,60,88,478",0,0,"5,60,88,478",100%,2021
61,Upcoming,"5,43,00,000",0,0,"5,43,00,000",100%,2021
62,Don't Breathe 2,"5,37,85,551","3,27,12,950",60.80%,"2,10,72,601",39.20%,2021
63,Man in Love,"5,29,46,097",0,0,"5,29,46,097",100%,2021
64,Break Through the Darkness,"5,27,00,000",0,0,"5,27,00,000",100%,2021
65,Schemes in Antiques,"5,16,37,422","36,501",0,"5,16,00,921",99.90%,2021
66,Luca,"5,10,74,773","13,24,302",2.60%,"4,97,50,471",97.40%,2021
67,Belfast,"4,91,58,709","92,50,870",18.80%,"3,99,07,839",81.20%,2021
68,My Hero Academia: World Heroes' Mission,"4,69,40,541","1,22,71,658",26.10%,"3,46,68,883",73.90%,2021
69,The French Dispatch,"4,63,33,545","1,61,24,375",34.80%,"3,02,09,170",65.20%,2021
70,In the Heights,"4,51,75,167","2,99,75,167",66.40%,"1,52,00,000",33.60%,2021
71,Love Will Tear Us Apart,"4,50,60,290",0,0,"4,50,60,290",100%,2021
72,Spirit Untamed,"4,27,17,215","1,77,16,215",41.50%,"2,50,01,000",58.50%,2021
73,Resident Evil: Welcome to Raccoon City,"4,19,14,915","1,70,00,612",40.60%,"2,49,14,303",59.40%,2021
74,Spiral,"4,06,18,920","2,32,16,862",57.20%,"1,74,02,058",42.80%,2021
75,Snake Eyes,"4,00,64,325","2,82,64,325",70.50%,"1,18,00,000",29.50%,2021
76,Tokyo Revengers,"3,97,14,624",0,0,"3,97,14,624",100%,2021
77,Nightmare Alley,"3,96,29,195","1,13,38,107",28.60%,"2,82,91,088",71.40%,2021
78,Nomadland,"3,94,58,207","37,00,000",9.40%,"3,57,58,207",90.60%,2021
79,King Richard,"3,94,29,285","1,51,29,285",38.40%,"2,43,00,000",61.60%,2021
80,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,"3,80,52,695",0,0,"3,80,52,695",100%,2021
81,The Yinyang Master,"3,76,90,000",0,0,"3,76,90,000",100%,2021
82,Rurouni Kenshin: Final Chapter Part I 0 The Final,"3,69,64,978",0,0,"3,69,64,978",100%,2021
83,The Door Lock,"3,61,00,000",0,0,"3,61,00,000",100%,2021
84,We Made a Beautiful Bouquet,"3,50,42,879",0,0,"3,50,42,879",100%,2021
85,Malignant,"3,48,91,791","1,33,91,791",38.40%,"2,15,00,000",61.60%,2021
86,Licorice Pizza,"3,32,76,075","1,73,18,007",52%,"1,59,58,068",48%,2021
87,Respect,"3,28,82,823","2,42,78,399",73.80%,"86,04,424",26.20%,2021
88,Big Red Envelope,"3,28,00,000",0,0,"3,28,00,000",100%,2021
89,Masquerade Night,"3,22,87,400",0,0,"3,22,87,400",100%,2021
90,Once Upon a Time in Hong Kong,"3,22,18,874",0,0,"3,22,18,874",100%,2021
91,Home Sweet Home,"3,21,78,677",0,0,"3,21,78,677",100%,2021
92,The Little Things,"3,08,42,746","1,53,42,746",49.70%,"1,55,00,000",50.30%,2021
93,The Unholy,"3,08,32,137","1,55,32,137",50.40%,"1,53,00,000",49.60%,2021
94,The Last Duel,"3,05,52,111","1,08,53,945",35.50%,"1,96,98,166",64.50%,2021
95,Escape from Mogadishu,"2,99,02,716","3,46,271",1.20%,"2,95,56,445",98.80%,2021
96,Master,"2,86,92,230",0,0,"2,86,92,230",100%,2021
97,The Last Warrior: Root of Evil,"2,83,57,398",0,0,"2,83,57,398",100%,2021
98,The Last Warrior: A Messenger of Darkness,"2,70,52,365",0,0,"2,70,52,365",100%,2021
99,American Underdog,"2,65,14,814","2,65,14,814",100%,0,0,2021
100,Chaos Walking,"2,65,08,132","1,32,87,908",50.10%,"1,32,20,224",49.90%,2021
101,The Courier,"2,60,01,227","66,13,432",25.40%,"1,93,87,795",74.60%,2021
102,Spencer,"2,52,46,967","70,86,632",28.10%,"1,81,60,335",71.90%,2021
103,Parallel Mothers,"2,30,99,858","22,97,501",9.90%,"2,08,02,357",90.10%,2021
104,The Marksman,"2,30,76,711","1,55,66,093",67.50%,"75,10,618",32.50%,2021
105,99.9 Criminal Lawyer: The Movie,"2,30,55,069",0,0,"2,30,55,069",100%,2021
106,Last Night in Soho,"2,29,57,625","1,01,27,625",44.10%,"1,28,30,000",55.90%,2021
107,The Day We Lit Up the Sky,"2,25,00,000",0,0,"2,25,00,000",100%,2021
108,School of Magical Animals,"2,20,29,698","2,88,414",1.30%,"2,17,41,284",98.70%,2021
109,Kaamelott: First Installment,"2,19,79,122","1,88,000",0.90%,"2,17,91,122",99.10%,2021
110,After We Fell,"2,17,53,705","21,70,750",10%,"1,95,82,955",90%,2021
111,Rurouni Kenshin: Final Chapter Part II 0 The Beginning,"2,13,18,560",0,0,"2,13,18,560",100%,2021
112,Wish Dragon,"2,11,20,000",0,0,"2,11,20,000",100%,2021
113,Crayon Shin0chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"2,07,52,104",0,0,"2,07,52,104",100%,2021
114,Stillwater,"1,97,54,272","1,44,65,535",73.20%,"52,88,737",26.80%,2021
115,The Wolf and the Lion,"1,95,10,578","20,72,173",10.60%,"1,74,38,405",89.40%,2021
116,Les Tuche 4,"1,92,59,766",0,0,"1,92,59,766",100%,2021
117,Dear Evan Hansen,"1,91,33,454","1,50,02,646",78.40%,"41,30,808",21.60%,2021
118,Those Who Wish Me Dead,"1,91,07,200","74,07,200",38.80%,"1,17,00,000",61.20%,2021
119,The Pioneer,"1,89,00,000",0,0,"1,89,00,000",100%,2021
120,The Green Knight,"1,88,87,953","1,71,73,321",90.90%,"17,14,632",9.10%,2021
121,Antlers,"1,88,67,659","1,06,19,670",56.30%,"82,47,989",43.70%,2021
122,Sinkhole,"1,88,16,801",0,0,"1,88,16,801",100%,2021
123,Mobile Suit Gundam: Hathaway,"1,87,31,309",0,0,"1,87,31,309",100%,2021
124,The Stronghold,"1,80,66,143",0,0,"1,80,66,143",100%,2021
125,"Dad, I'm Sorry","1,74,80,489","3,50,000",2%,"1,71,30,489",98%,2021
126,Gintama: The Final,"1,72,52,960",0,0,"1,72,52,960",100%,2021
127,Railway Heroes,"1,72,23,704",0,0,"1,72,23,704",100%,2021
128,Your Turn to Kill,"1,65,11,822",0,0,"1,65,11,822",100%,2021
129,Cry Macho,"1,65,10,734","1,03,10,734",62.40%,"62,00,000",37.60%,2021
130,Reminiscence,"1,64,00,193","39,00,193",23.80%,"1,25,00,000",76.20%,2021
131,Legend No. 17,"1,60,96,860",0,0,"1,60,96,860",100%,2021
132,Upon the Magic Roads,"1,59,90,882",0,0,"1,59,90,882",100%,2021
133,Harry Potter and the Sorcerer's Stone 2021 Re0release,"1,55,91,681","7,99,342",5.10%,"1,46,04,379",93.70%,2021
134,The Dry,"1,55,76,286","3,64,237",2.30%,"1,52,12,049",97.70%,2021
135,The Night House,"1,54,37,703","71,00,581",46%,"83,37,122",54%,2021
136,Drive My Car,"1,53,56,410","23,52,240",15.30%,"1,30,04,170",84.70%,2021
137,Minari,"1,52,88,578","31,10,580",20.30%,"1,21,77,998",79.70%,2021
138,Something About Love,"1,52,04,017",0,0,"1,52,04,017",100%,2021
139,Anita,"1,50,17,470","5,56,632",3.70%,"1,44,60,838",96.30%,2021
140,And So the Baton Is Passed,"1,44,03,588",0,0,"1,44,03,588",100%,2021
141,The Tomorrow War,"1,44,00,000",0,0,"1,44,00,000",100%,2021
142,Sword Art Online: Progressive 0 Aria of a Starless Night,"1,40,32,747","10,50,000",7.50%,"1,29,82,747",92.50%,2021
143,Christmas with the Chosen: The Messengers,"1,37,28,000","1,37,28,000",100%,0,0,2021
144,Eiffel,"1,35,73,923","4,44,814",3.30%,"1,31,29,109",96.70%,2021
145,OSS 117: From Africa with Love,"1,34,57,801",0,0,"1,34,57,801",100%,2021
146,Hostage: Missing Celebrity,"1,31,74,292",0,0,"1,31,74,292",100%,2021
147,Vakeel Saab,"1,30,56,490",0,0,"1,30,56,490",100%,2021
148,The Many Saints of Newark,"1,30,37,403","82,37,403",63.20%,"48,00,000",36.80%,2021
149,The Monkey King: Reborn,"1,30,17,088",0,0,"1,30,17,088",100%,2021
150,No Escapes,"1,29,16,151",0,0,"1,29,16,151",100%,2021
151,The Bodin's in the Land of Smile,"1,28,72,253",0,0,"1,28,72,253",100%,2021
152,The Worst Person in the World,"1,26,87,507","30,34,775",23.90%,"96,52,732",76.10%,2021
153,Character,"1,26,28,017",0,0,"1,26,28,017",100%,2021
154,On Your Mark,"1,21,00,000",0,0,"1,21,00,000",100%,2021
155,On the Line,"1,20,58,986",0,0,"1,20,58,986",100%,2021
156,Stand by Me,"1,19,00,000",0,0,"1,19,00,000",100%,2021
157,The Fable: The Killer Who Doesn't Kill,"1,13,25,545",0,0,"1,13,25,545",100%,2021
158,What Did You Eat Yesterday?,"1,13,20,893",0,0,"1,13,20,893",100%,2021
159,Aline,"1,11,49,943","6,67,815",6%,"1,04,82,128",94%,2021
160,Krack,"1,04,42,916",0,0,"1,04,42,916",100%,2021
161,Realm of Terracotta,"1,03,63,914",0,0,"1,03,63,914",100%,2021
162,Kaiserschmarrndrama,"1,03,57,720",0,0,"1,03,57,720",100%,2021
163,"Caution, Hazardous Wife: The Movie","1,03,56,359",0,0,"1,03,56,359",100%,2021
164,Detective Conan: The Scarlet Alibi,"1,03,08,627",0,0,"1,03,08,627",100%,2021
165,Never Stop,"1,02,24,935",0,0,"1,02,24,935",100%,2021
166,Ainbo,"1,01,72,403",0,0,"1,01,72,403",100%,2021
167,Eiga Sumikkogurashi: Aoi tsukiyo no mahô no ko,"97,42,510",0,0,"97,42,510",100%,2021
168,Black Box,"97,38,741",0,0,"97,38,741",100%,2021
169,The Soul,"96,00,000",0,0,"96,00,000",100%,2021
170,¡A todo tren! Destino Asturias,"95,44,171",0,0,"95,44,171",100%,2021
171,Baragaki: Unbroken Samurai,"94,81,437",0,0,"94,81,437",100%,2021
172,Dad,"92,67,397",0,0,"92,67,397",100%,2021
173,The Lord of the Rings: The Fellowship of the Ring 2021 Re0release,"89,90,599",0,0,"83,77,569",93.20%,2021
174,All About My Mother,"89,00,000",0,0,"89,00,000",100%,2021
175,The Eleventh Chapter,"88,44,997",0,0,"88,44,997",100%,2021
176,The Medium,"88,26,689",0,0,"88,26,689",100%,2021
177,The Vault,"88,03,864",0,0,"88,03,864",100%,2021
178,Kaguya0sama: Love Is War,"87,94,981",0,0,"87,94,981",100%,2021
179,Moonbound,"87,49,618",0,0,"87,49,618",100%,2021
180,The Protégé,"87,37,253","74,46,823",85.20%,"12,90,430",14.80%,2021
181,Lost Illusions,"86,35,184","1,26,391",1.50%,"85,08,793",98.50%,2021
182,Agent Backkom: King's Bear,"86,19,446",0,0,"86,19,446",100%,2021
183,Pil's Adventures,"85,67,345",0,0,"85,67,345",100%,2021
184,Honey Lemon Soda,"84,41,488",0,0,"84,41,488",100%,2021
185,Delicious,"83,71,523",0,0,"83,71,523",100%,2021
186,I Don't Have Any Money Left in My Retirement Account,"82,04,616",0,0,"82,04,616",100%,2021
187,Girls to Buy,"81,77,284",0,0,"81,77,284",100%,2021
188,Green Snake,"81,70,000",0,0,"81,70,000",100%,2021
189,New Happy Dad and Son 4,"80,70,000",0,0,"80,70,000",100%,2021
190,Sunny Sisters,"78,80,000",0,0,"78,80,000",100%,2021
191,Contra,"77,62,797",0,0,"77,62,797",100%,2021
192,Hard Hit,"76,58,021",0,0,"76,58,021",100%,2021
193,Little Canned Men,"76,00,000",0,0,"76,00,000",100%,2021
194,Pushpa: The Rise 0 Part 1,"75,92,374","13,20,000",17.40%,"62,72,374",82.60%,2021
195,The Mauritanian,"75,27,030","8,36,536",11.10%,"66,90,494",88.90%,2021
196,The Ice Road,"75,02,846",0,0,"75,02,846",100%,2021
197,Judas and the Black Messiah,"74,78,009","54,78,009",73.30%,"20,00,000",26.70%,2021
198,Love Letter 2021 Re0release,"74,00,000",0,0,"74,00,000",100%,2021
199,Signal: The Movie,"73,88,603",0,0,"73,88,603",100%,2021
0,Avatar: The Way of Water,"2,32,02,50,281","68,40,75,767",29.50%,"1,63,61,74,514",70.50%,2022
1,Top Gun: Maverick,"1,49,56,96,292","71,87,32,821",48.10%,"77,69,63,471",51.90%,2022
2,Jurassic World Dominion,"1,00,19,78,080","37,68,51,080",37.60%,"62,51,27,000",62.40%,2022
3,Doctor Strange in the Multiverse of Madness,"95,57,75,804","41,13,31,607",43%,"54,44,44,197",57%,2022
4,Minions: The Rise of Gru,"94,02,03,765","37,02,70,765",39.40%,"56,99,33,000",60.60%,2022
5,Black Panther: Wakanda Forever,"85,92,08,836","45,38,29,060",52.80%,"40,53,79,776",47.20%,2022
6,The Batman,"77,22,45,583","36,93,45,583",47.80%,"40,29,00,000",52.20%,2022
7,Thor: Love and Thunder,"76,09,28,081","34,32,56,830",45.10%,"41,76,71,251",54.90%,2022
8,Water Gate Bridge,"62,65,71,697","1,17,294",0,"62,64,54,403",100%,2022
9,Puss in Boots: The Last Wish,"48,17,26,788","18,60,90,535",38.60%,"29,56,36,253",61.40%,2022
10,Moon Man,"46,02,37,662",0,0,"46,02,37,662",100%,2022
11,Fantastic Beasts: The Secrets of Dumbledore,"40,71,50,844","9,58,50,844",23.50%,"31,13,00,000",76.50%,2022
12,Uncharted,"40,71,41,258","14,86,48,820",36.50%,"25,84,92,438",63.50%,2022
13,Sonic the Hedgehog 2,"40,54,21,518","19,08,72,904",47.10%,"21,45,48,614",52.90%,2022
14,Black Adam,"39,34,52,111","16,81,52,111",42.70%,"22,53,00,000",57.30%,2022
15,Elvis,"28,77,40,048","15,10,40,048",52.50%,"13,67,00,000",47.50%,2022
16,The Bad Guys,"25,03,87,888","9,74,59,240",38.90%,"15,29,28,648",61.10%,2022
17,Bullet Train,"23,92,68,602","10,33,68,602",43.20%,"13,59,00,000",56.80%,2022
18,Lightyear,"22,64,25,420","11,83,07,188",52.20%,"10,81,18,232",47.80%,2022
19,Smile,"21,74,08,513","10,59,35,048",48.70%,"11,14,73,465",51.30%,2022
20,Too Cool to Kill,"21,72,54,604","1,85,882",0,"21,70,68,722",99.90%,2022
21,Nice View,"21,10,19,042",0,0,"21,10,19,042",100%,2022
22,DC League of Super0Pets,"20,75,57,117","9,36,57,117",45.10%,"11,39,00,000",54.90%,2022
23,The Lost City,"19,29,07,684","10,53,44,029",54.60%,"8,75,63,655",45.40%,2022
24,M3GAN,"18,00,89,109","9,51,59,005",52.80%,"8,49,30,104",47.20%,2022
25,One Piece Film: Red,"17,13,19,579","1,27,75,324",7.50%,"15,85,44,255",92.50%,2022
26,Nope,"17,12,35,592","12,32,77,080",72%,"4,79,58,512",28%,2022
27,Ticket to Paradise,"16,87,70,985","6,82,75,985",40.50%,"10,04,95,000",59.50%,2022
28,Morbius,"16,74,60,961","7,38,65,530",44.10%,"9,35,95,431",55.90%,2022
29,RRR,"16,59,55,146","1,45,00,000",8.70%,"15,14,55,146",91.30%,2022
30,The Black Phone,"16,14,40,742","9,01,23,230",55.80%,"7,13,17,512",44.20%,2022
31,The First Slam Dunk,"15,17,12,242","12,91,869",0.90%,"15,04,20,373",99.10%,2022
32,Where the Crawdads Sing,"14,43,53,965","9,02,30,760",62.50%,"5,41,23,205",37.50%,2022
33,Everything Everywhere All at Once,"13,94,02,341","7,71,91,785",55.40%,"6,22,10,556",44.60%,2022
34,Scream,"13,77,43,924","8,16,41,405",59.30%,"5,61,02,519",40.70%,2022
35,Death on the Nile,"13,73,07,235","4,56,30,104",33.20%,"9,16,77,131",66.80%,2022
36,Suzume,"13,34,73,196","1,09,32,037",8.20%,"12,25,41,159",91.80%,2022
37,A Man Called Otto,"11,33,59,847","6,42,67,657",56.70%,"4,90,92,190",43.30%,2022
38,"Lyle, Lyle, Crocodile","11,10,80,122","4,68,88,441",42.20%,"6,41,91,681",57.80%,2022
39,Halloween Ends,"10,43,74,176","6,40,79,860",61.40%,"4,02,94,316",38.60%,2022
40,The Roundup,"10,11,66,707","8,12,859",0.80%,"10,03,53,848",99.20%,2022
41,The Woman King,"9,75,62,514","6,73,28,130",69%,"3,02,34,384",31%,2022
42,Downton Abbey: A New Era,"9,26,51,384","4,41,41,550",47.60%,"4,85,09,834",52.40%,2022
43,K.G.F: Chapter 2,"8,91,23,940","28,74,000",3.20%,"8,62,49,940",96.80%,2022
44,Don't Worry Darling,"8,76,09,403","4,53,09,403",51.70%,"4,23,00,000",48.30%,2022
45,Dragon Ball Super: Super Hero,"8,65,62,140","3,81,12,140",44%,"4,84,50,000",56%,2022
46,Dog,"8,45,50,282","6,17,78,069",73.10%,"2,27,72,213",26.90%,2022
47,Jackass Forever,"8,05,63,999","5,77,43,451",71.70%,"2,28,20,548",28.30%,2022
48,The Menu,"7,96,28,200","3,85,01,125",48.40%,"4,11,27,075",51.60%,2022
49,Chebi: My Fluffy Friend,"7,76,09,926",0,0,"7,76,09,926",100%,2022
50,Avatar 2022 Re0release,"7,60,12,917","2,47,14,024",32.50%,"5,12,98,893",67.50%,2022
51,Violent Night,"7,60,04,405","5,00,57,405",65.90%,"2,59,47,000",34.10%,2022
52,Strange World,"7,36,21,640","3,79,68,963",51.60%,"3,56,52,677",48.40%,2022
53,Detective Conan: The Bride of Halloween,"7,26,99,093",0,0,"7,26,99,093",100%,2022
54,The Northman,"6,96,33,110","3,42,33,110",49.20%,"3,54,00,000",50.80%,2022
55,Moonfall,"6,73,19,703","1,90,60,660",28.30%,"4,82,34,703",71.70%,2022
56,Babylon,"6,35,62,440","1,53,51,455",24.20%,"4,82,10,985",75.80%,2022
57,Whitney Houston: I Wanna Dance with Somebody,"5,98,06,881","2,37,08,080",39.60%,"3,60,98,801",60.40%,2022
58,Beast,"5,90,95,809","3,18,46,530",53.90%,"2,72,49,279",46.10%,2022
59,The Whale,"5,76,15,635","1,74,63,630",30.30%,"3,95,63,064",68.70%,2022
60,Hansan: Rising Dragon,"5,74,90,985","8,65,888",1.50%,"5,66,25,097",98.50%,2022
61,Confidential Assignment 2: International,"5,44,86,330",0,0,"5,44,86,330",100%,2022
62,Ambulance,"5,23,03,589","2,27,81,115",43.60%,"2,95,22,474",56.40%,2022
63,Marry Me,"5,05,41,093","2,24,38,180",44.40%,"2,81,02,913",55.60%,2022
64,Brahmastra Part One: Shiva,"5,01,64,785","78,39,108",15.60%,"4,23,25,677",84.40%,2022
65,The Banshees of Inisherin,"4,92,62,687","1,05,82,266",21.50%,"3,86,80,421",78.50%,2022
66,The Fabelmans,"4,56,47,323","1,73,48,945",38%,"2,82,98,378",62%,2022
67,Barbarian,"4,53,52,337","4,08,42,944",90.10%,"45,09,393",9.90%,2022
68,Prey for the Devil,"4,46,58,929","1,98,02,293",44.30%,"2,48,56,636",55.70%,2022
69,Paws of Fury: The Legend of Hank,"4,24,39,184","1,78,11,382",42%,"2,46,27,802",58%,2022
70,The Invitation,"3,80,36,130","2,51,00,080",66%,"1,29,36,050",34%,2022
71,Orphan: First Kill,"3,70,83,743","54,13,227",14.60%,"3,16,70,516",85.40%,2022
72,Matilda: The Musical,"3,56,17,120",0,0,"3,56,17,120",100%,2022
73,Kingdom 2: Far and Away,"3,49,63,395",0,0,"3,49,63,395",100%,2022
74,The Bob's Burgers Movie,"3,41,48,750","3,19,33,830",93.50%,"22,14,920",6.50%,2022
75,Hunt,"3,38,21,338","25,994",0,"3,37,95,344",99.90%,2022
76,Tad the Lost Explorer and the Emerald Tablet,"3,28,49,430","67,599",0.20%,"3,27,81,831",99.80%,2022
77,BTS Permission to Dance on Stage 0 Seoul: Live Viewing,"3,26,00,000","68,40,000",21%,"2,57,60,000",79%,2022
78,Shin Ultraman,"3,21,37,136","6,01,490",1.90%,"3,15,35,646",98.10%,2022
79,Amsterdam,"3,12,45,810","1,49,47,969",47.80%,"1,62,97,841",52.20%,2022
80,Mrs. Harris Goes to Paris,"3,10,42,050","1,04,33,915",33.60%,"2,06,08,135",66.40%,2022
81,Vikram,"2,98,37,637","17,70,000",5.90%,"2,80,67,637",94.10%,2022
82,The Unbearable Weight of Massive Talent,"2,91,16,320","2,03,00,157",69.70%,"88,16,163",30.30%,2022
83,Tár,"2,90,48,571","67,73,650",23.30%,"2,22,74,921",76.70%,2022
84,Serial (Bad) Weddings 3,"2,78,32,384",0,0,"2,78,32,384",100%,2022
85,The 355,"2,78,27,745","1,45,70,455",52.40%,"1,32,57,290",47.60%,2022
86,The Last 10 Years,"2,67,29,106",0,0,"2,67,29,106",100%,2022
87,The Night Owl,"2,67,19,364",0,0,"2,67,19,364",100%,2022
88,Triangle of Sadness,"2,62,14,659","46,08,096",17.60%,"2,16,06,563",82.40%,2022
89,Calendar Girls,"2,54,33,615",0,0,"2,54,33,615",100%,2022
90,The Kashmir Files,"2,48,21,898","14,85,000",6%,"2,33,36,898",94%,2022
91,Hero,"2,43,92,492",0,0,"2,43,92,492",100%,2022
92,The Confidence Man JP: Episode of the Hero,"2,32,14,581",0,0,"2,32,14,581",100%,2022
93,The Witch: Part 2 0 The Other One,"2,30,68,596","1,43,723",0.60%,"2,29,24,873",99.40%,2022
94,###############################################################################################################################################################################################################################################################,"2,22,63,336",0,0,"2,22,63,336",100%,2022
95,Doraemon the Movie: Nobita's Little Star Wars 2021,"2,20,44,058",0,0,"2,20,44,058",100%,2022
96,Decision to Leave,"2,20,26,067","21,79,864",9.90%,"1,98,46,203",90.10%,2022
97,See How They Run,"2,19,66,634","95,86,237",43.60%,"1,23,80,397",56.40%,2022
98,Ponniyin Selvan: Part I,"2,18,88,295","42,82,000",19.60%,"1,76,06,295",80.40%,2022
99,Devotion,"2,17,68,133","2,05,11,938",94.20%,"12,56,195",5.80%,2022
100,Silent Parade,"2,17,23,595",0,0,"2,17,23,595",100%,2022
101,Father Stu,"2,15,92,379","2,08,84,796",96.70%,"7,07,583",3.30%,2022
102,Turning Red,"2,15,21,622","13,99,001",6.50%,"2,01,22,621",93.50%,2022
103,Emergency Declaration,"2,14,00,327","4,12,196",1.90%,"2,09,88,131",98.10%,2022
104,The Amazing Maurice,"2,11,34,768","43,03,645",20.40%,"1,68,31,123",79.60%,2022
105,Monster,"2,06,55,998","4,34,585",2.10%,"2,02,21,413",97.90%,2022
106,Crayon Shin0chan: Mononoke Ninja Chinpuden,"2,06,17,005",0,0,"2,06,17,005",100%,2022
107,Three Thousand Years of Longing,"2,02,82,422","82,86,741",40.90%,"1,19,95,681",59.10%,2022
108,School of Magical Animals 2,"1,97,24,705","45,860",0.20%,"1,96,78,845",99.80%,2022
